Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)
2017 191  7320  -1836969.422   6065616.893   -716257.926      1.014   2.268   0.285   2.552  14.378
2017 191  7350  -1836969.423   6065616.893   -716257.926      0.600   2.268   0.284   2.552  14.378
2017 191  7380  -1836969.423   6065616.894   -716257.926      0.480   2.268   0.284   2.552  14.378
2017 191  7410  -1836969.423   6065616.894   -716257.926      0.693   2.268   0.283   2.551  14.378
2017 191  7440  -1836969.424   6065616.895   -716257.926      0.560   2.268   0.283   2.551  14.378
2017 191  7470  -1836969.424   6065616.895   -716257.926      0.402   2.268   0.283   2.551  14.377
2017 191  7500  -1836969.424   6065616.895   -716257.926      0.124   2.268   0.283   2.551  14.377
2017 191  7530  -1836969.424   6065616.895   -716257.926      0.045   2.268   0.283   2.551  14.377
2017 191  7560  -1836969.424   6065616.895   -716257.926      0.096   2.268   0.283   2.551  14.378
2017 191  7590  -1836969.424   6065616.895   -716257.926      0.276   2.268   0.283   2.551  14.379
2017 191  7620  -1836969.424   6065616.896   -716257.926      0.038   2.268   0.283   2.551  14.379
2017 191  7650  -1836969.424   6065616.896   -716257.926      0.210   2.268   0.283   2.551  14.378
2017 191  7680  -1836969.425   6065616.897   -716257.926      0.139   2.268   0.283   2.551  14.377
2017 191  7710  -1836969.425   6065616.897   -716257.926      0.305   2.268   0.283   2.551  14.377
2017 191  7740  -1836969.425   6065616.898   -716257.926      0.767   2.268   0.283   2.551  14.376
2017 191  7770  -1836969.425   6065616.898   -716257.926      1.230   2.268   0.283   2.551  14.376
2017 191  7800  -1836969.425   6065616.899   -716257.926      1.140   2.268   0.283   2.551  14.375
2017 191  7830  -1836969.425   6065616.899   -716257.926      0.930   2.268   0.283   2.551  14.374
2017 191  7860  -1836969.425   6065616.899   -716257.926      0.915   2.268   0.283   2.551  14.373
2017 191  7890  -1836969.425   6065616.899   -716257.926      0.602   2.268   0.283   2.551  14.372
2017 191  7920  -1836969.425   6065616.900   -716257.926      0.786   2.268   0.283   2.551  14.372
2017 191  7950  -1836969.425   6065616.900   -716257.926      0.346   2.268   0.283   2.551  14.372
2017 191  7980  -1836969.425   6065616.900   -716257.926      0.966   2.268   0.284   2.552  14.372
2017 191  8010  -1836969.425   6065616.900   -716257.926      0.507   2.268   0.284   2.552  14.372
2017 191  8040  -1836969.425   6065616.900   -716257.926      0.255   2.268   0.284   2.552  14.370
2017 191  8070  -1836969.425   6065616.900   -716257.926      0.316   2.268   0.284   2.552  14.370
2017 191  8100  -1836969.425   6065616.900   -716257.926      0.100   2.268   0.285   2.552  14.369
2017 191  8130  -1836969.425   6065616.900   -716257.926      0.294   2.268   0.285   2.553  14.368
2017 191  8160  -1836969.425   6065616.901   -716257.926      0.339   2.268   0.285   2.553  14.368
2017 191  8190  -1836969.425   6065616.901   -716257.926      0.135   2.268   0.285   2.553  14.369
2017 191  8220  -1836969.426   6065616.901   -716257.926      0.579   2.268   0.285   2.553  14.368
2017 191  8250  -1836969.426   6065616.901   -716257.926      0.532   2.268   0.285   2.553  14.368
2017 191  8280  -1836969.426   6065616.902   -716257.926      0.779   2.268   0.285   2.553  14.368
2017 191  8310  -1836969.426   6065616.902   -716257.926      0.291   2.268   0.285   2.553  14.367
2017 191  8340  -1836969.426   6065616.902   -716257.926      0.314   2.268   0.286   2.553  14.367
2017 191  8370  -1836969.427   6065616.902   -716257.926      0.330   2.268   0.286   2.553  14.368
2017 191  8400  -1836969.427   6065616.903   -716257.926      0.247   2.268   0.286   2.553  14.367
2017 191  8430  -1836969.427   6065616.903   -716257.926      0.322   2.268   0.286   2.554  14.367
2017 191  8460  -1836969.427   6065616.903   -716257.926      0.046   2.268   0.286   2.554  14.366
2017 191  8490  -1836969.427   6065616.903   -716257.926     -0.018   2.268   0.286   2.554  14.366
2017 191  8520  -1836969.427   6065616.903   -716257.926      0.044   2.268   0.286   2.554  14.365
2017 191  8550  -1836969.427   6065616.903   -716257.926      0.146   2.268   0.286   2.554  14.363
2017 191  8580  -1836969.427   6065616.903   -716257.926      0.126   2.268   0.286   2.554  14.362
2017 191  8610  -1836969.427   6065616.903   -716257.926      0.300   2.268   0.286   2.554  14.361
2017 191  8640  -1836969.428   6065616.903   -716257.926      0.250   2.268   0.287   2.554  14.360
2017 191  8670  -1836969.428   6065616.903   -716257.926     -0.069   2.268   0.287   2.555  14.359
2017 191  8700  -1836969.428   6065616.903   -716257.926     -0.062   2.268   0.287   2.555  14.358
2017 191  8730  -1836969.428   6065616.903   -716257.926     -0.516   2.268   0.287   2.555  14.357
